,CompanyName,Industry,Locations,LocationCount,Rating,InterviewCount
1809,Nspira Management Services,BPO , Hyderabad ,58,587.0,37
1810,Mrs Bector's Food Specialities,Food Processing , Greater Noida ,85,587.0,30
1811,AVTEC,Auto Components , Hosur ,26,586.0,26
1812,Kellogg,FMCG , Mumbai ,85,586.0,30
1813,Heidelberg Cement,Building Material , Damoh ,78,586.0,35
1814,Medley Pharmaceuticals,Pharma , Mumbai ,76,586.0,38
1815,Vedang Cellular Services,Telecom , Mumbai ,68,585.0,30
1816,Myk Laticrete,Building Material , Hyderabad ,86,585.0,25
1817,Bharat Biotech International,Biotechnology , Hyderabad ,29,585.0,62
1818,HLL Lifecare,Healthcare , Thiruvananthapuram ,115,584.0,44
1819,Excitel Broadband,Telecom , New Delhi ,43,584.0,57
1820,Saudi Aramco,Oil & Gas , Mumbai ,38,584.0,60
1821,IKEA,Retail , Bengaluru ,23,584.0,49
1822,Hpl Electric & Power,Electrical Equipment , Gurugram ,68,585.0,69
1823,United Colors of Benetton,Fashion & Textile , Gurugram ,73,583.0,23
1824,Pathkind Diagnostics Private Limited,Healthcare , New Delhi ,97,582.0,53
1825,Consulting Engineers Group,Engineering & Construction , Jaipur ,70,581.0,47
1826,Vadilal Industries,FMCG , Ahmedabad ,84,581.0,36
1827,EaseMyTrip.com,Internet , New Delhi ,8,581.0,67
1828,Ofbusiness,Internet , Gurugram ,41,581.0,50
1829,IDP Education Limited,Education & Training , Chennai ,50,581.0,68
1830,PTC,Software Product , Pune ,41,580.0,69
1831,Affinity Express,Marketing & Advertising , Pune ,12,580.0,38
1832,Inspira Enterprise India Limited,IT Services & Consulting , Mumbai ,35,581.0,50
1833,Coal India,Metals & Mining , Kolkata ,62,579.0,52
1834,Anmol Industries,FMCG , Kolkata ,87,579.0,64
1835,SIS Prosegur Holdings,Law Enforcement & Security , New Delhi ,91,579.0,19
1836,EdgeVerve Systems,Software Product , Bengaluru ,14,577.0,67
1837,Micromax Informatics,Consumer Electronics & Appliances , New Delhi ,118,576.0,22
1838,Quest Retail Private Limited,Retail , Gurugram ,64,576.0,15
1839,Hilton,Hospitality , Bengaluru ,40,576.0,27
1840,Pamac Finserve,BPO , Mumbai ,59,576.0,31
1842,APL Apollo Tubes,Iron & Steel , Raipur ,46,576.0,49
1843,Efs Facilities Services,Facility Management Services , New Delhi ,59,576.0,32
1844,Sterling Oil Exploration & Energy Production,Oil & Gas , Lagos ,22,575.0,68
1845,Jubilant Generics,Pharma , Roorkee ,25,574.0,20
1846,Hettich,Furniture & Furnishing , Mumbai ,45,574.0,42
1847,Eli Lilly and Company,Pharma , Bengaluru ,18,574.0,81
1848,Wood Group,Engineering & Construction , Chennai ,29,574.0,67
1849,Cvent,Software Product , Gurugram ,9,573.0,101
1850,Jindal Poly Films,Packaging , Nashik ,19,573.0,39
1851,Gandhi Automations,Industrial Machinery , Mumbai ,24,573.0,39
1852,Varindera Constructions,Engineering & Construction , New Delhi ,25,573.0,48
1853,GAMMON INDIA,Engineering & Construction , Mumbai ,71,572.0,31
1854,Ascent HR Technologies Private Limited,Software Product , Bengaluru ,15,572.0,43
1855,AVEVA,Software Product , Hyderabad ,14,571.0,30
1856,Maharashtra State Electricity Distribution Company,Power , Pune ,91,571.0,24
1857,Accion Labs,IT Services & Consulting , Bengaluru ,13,571.0,81
1858,Army Public School,Education & Training , New Delhi ,95,571.0,41
1859,Dr. Reddy's Foundation,Non-Profit , Hyderabad ,88,570.0,54
1860,AVIOM,NBFC , New Delhi ,189,570.0,31
1861,Axiscades,IT Services & Consulting , Bengaluru ,12,570.0,61
1862,NLC India Limited,Metals & Mining , Neyveli ,26,569.0,29
1863,Fenesta Building Systems,Building Material , Gurugram ,74,568.0,38
1864,Lulu International Shopping Mall,Retail , Lucknow ,41,568.0,42
1865,HBL Power Systems,Electrical Equipment , Hyderabad ,49,567.0,33
1866,WayCool Foods and Products,FMCG , Chennai ,41,567.0,42
1867,Aurionpro Solutions,Software Product , Mumbai ,49,567.0,36
1868,Motilal Oswal Wealth Management,Financial Services , Mumbai ,25,567.0,41
1869,Amway India Enterprises,Fitness & Wellness , Gurugram ,80,567.0,18
1870,Kiya.ai,IT Services & Consulting , Mumbai ,18,569.0,51
1871,Crystal Crop Protection,Agro Chemicals , New Delhi ,89,567.0,24
1872,Colt Technology Services,Hardware & Networking , Gurugram ,13,566.0,25
1873,TSYS|Total System Services,FinTech , Pune ,10,566.0,67
1874,PureSoftware,Software Product , Noida ,11,567.0,67
1875,Apitoria Pharma,Pharma , Hyderabad ,12,567.0,38
1876,PayU Payments,FinTech , Gurugram ,22,566.0,67
1877,Perficient,IT Services & Consulting , Chennai ,11,565.0,46
1878,Orra Fine Jewellery,Jewellery , Mumbai ,51,566.0,48
1879,Pinnacle Infotech,IT Services & Consulting , Durgapur ,19,564.0,61
1880,Damco Solutions,IT Services & Consulting , Noida ,22,564.0,44
1881,Infinity Learn,EdTech , Hyderabad ,17,566.0,102
1882,Capital Numbers Infotech,IT Services & Consulting , Kolkata ,9,564.0,45
1883,Avaada Group,Power , Noida ,66,563.0,53
1884,SoftAge Information Technology,IT Services & Consulting , Gurugram ,126,564.0,22
1885,The Saraswat Co-operative Bank,Banking , Mumbai ,34,564.0,26
1886,Jaipur Rugs,Fashion & Textile , Jaipur ,20,566.0,64
1887,Baker Hughes,Oil & Gas , Bengaluru ,38,562.0,65
1888,Country Delight,Food Processing , Gurugram ,35,562.0,42
1889,J K Fenner,Engineering & Construction , Chennai ,56,561.0,34
1890,Dishman Carbogen Amcis,Pharma , Ahmedabad ,15,561.0,36
1891,Alcon,Medical Equipment , Bengaluru ,38,560.0,42
1892,Expleo Group,IT Services & Consulting , Pune ,9,560.0,47
1893,Prochant,Analytics & KPO , Chennai ,9,560.0,67
1894,HashedIn by Deloitte,IT Services & Consulting , Bengaluru ,16,560.0,140
1895,McCain Foods,FMCG , Mahesana ,73,560.0,36
1896,Applied Materials,Semiconductors , Bengaluru ,11,560.0,87
1897,Transport Corporation Of India,Logistics , Gurugram ,81,559.0,38
1898,Levi Strauss & Co.,Fashion & Textile , Bengaluru ,80,559.0,30
1899,Kauvery Hospital,Healthcare , Chennai ,21,559.0,37
1900,Vyapar,Software Product , Bengaluru ,39,558.0,75
1901,United Spirits,Beverage , Bengaluru ,95,558.0,14
1902,Mr Cooper,Financial Services , Chennai ,11,558.0,108
1903,Voyants Solutions,Engineering & Construction , Gurugram ,93,557.0,57
1904,BAXY,Auto Components , Bhiwadi ,38,571.0,27
1905,Lear Corporation,Auto Components , Pune ,19,556.0,24
1906,Allianz Services,Insurance , Thiruvananthapuram ,13,556.0,33
1907,Toothsi,Internet , Mumbai ,19,555.0,66
1908,Toyota Industries Engine India,Auto Components , Bengaluru ,15,556.0,31
1909,Maxop Engineering Co.,Auto Components , Gurugram ,15,555.0,45
1910,Courtyard by Marriott,Hospitality , Mumbai ,41,554.0,25
1911,UTL Solar,Electronics Manufacturing , New Delhi ,78,554.0,59
1912,Paras Dairy,Food Processing , New Delhi ,59,555.0,30
1913,Iron Mountain Inc,IT Services & Consulting , Bengaluru ,49,554.0,30
1914,Empower,Financial Services , Bengaluru ,12,554.0,58
1915,DB Schenker,Logistics , Gurugram ,40,553.0,23
1916,Renault,Automobile , Chennai ,149,553.0,32
1917,Andritz Hydro Location India,,-1,-1,553.0,33
1918,Solara Active Pharma Sciences,Pharma , Visakhapatnam ,19,553.0,44
1919,Z X Learning,EdTech , Lucknow ,89,553.0,44
1920,HUDL,Software Product , Mumbai ,17,552.0,62
1921,Herbalife International,Healthcare , Bengaluru ,85,553.0,30
1922,QSpiders,Education & Training , Bengaluru ,26,552.0,97
1923,Congruex Asia Pacific,Engineering & Construction , Sahibzada Ajit Singh Nagar ,24,552.0,67
1924,Paramount Health Services Tpa,Insurance , Mumbai ,39,551.0,35
1925,Genesys International Corporation,IT Services & Consulting , Mumbai ,15,552.0,21
1926,ArcelorMittal,Iron & Steel , Surat ,49,550.0,41
1927,BUSINESSNEXT,Software Product , Noida ,9,550.0,76
1928,Artemis Hospitals,Healthcare , Gurugram ,20,550.0,19
1929,Bajaj Consumer Care,FMCG , Mumbai ,111,550.0,33
1930,MITS Global Consulting,Recruitment , Mumbai ,12,549.0,42
1931,Mahendra NextWealth IT,IT Services & Consulting , Salem ,26,548.0,26
1932,Sandoz,Pharma , Hyderabad ,20,548.0,27
1933,Wow Momo Foods,Hospitality , Kolkata ,52,548.0,46
1934,C5i,Analytics & KPO , Bengaluru ,16,547.0,54
1935,Navin Fluorine International,Chemicals , Surat ,17,547.0,29
1936,Unimoni,FinTech , Chennai ,134,547.0,18
1937,General Motors,Automobile , Pune ,36,547.0,34
1938,Practo,Internet , Bengaluru ,24,547.0,80
1939,Marelli,Auto Components , Gurugram ,18,547.0,44
1940,"DATAMARK, Inc.",BPO , Chennai ,13,547.0,32
1941,Datamatics Business Solutions,Management Consulting , Mumbai ,13,546.0,46
1942,Carlsberg,Beverage , Gurugram ,66,545.0,37
1943,Harman Finochem,Pharma , Chhatrapati Sambhajinagar ,15,545.0,42
1944,Ambit Finvest,NBFC , Mumbai ,112,544.0,27
1945,Inox Wind,Power , Noida ,41,544.0,49
1946,Kirloskar Pneumatic,Industrial Machinery , Pune ,21,544.0,37
1947,Innominds Software,IT Services & Consulting , Hyderabad ,7,544.0,48
1948,Prestige Group,Real Estate , Bengaluru ,30,545.0,46
1949,FiveS Digital,BPO , Jamshedpur ,27,545.0,57
1950,Kellogg Brown and Root,Engineering & Construction , Chennai ,36,543.0,41
1951,Western Refrigeration,Industrial Machinery , Vapi ,40,543.0,41
1952,Bharat Fritz Werner,Industrial Machinery , Bengaluru ,18,543.0,32
1953,Propertypistol Realty,Internet , Mumbai ,25,543.0,75
1954,Gayatri Projects,Engineering & Construction , Hyderabad ,71,542.0,40
1955,SAEL Industries Limited,Power , New Delhi ,61,542.0,46
1956,The Times of India,Media & Entertainment , New Delhi ,53,542.0,45
1957,LendingKart,NBFC , Ahmedabad ,46,542.0,39
1958,L & W Constructions,Engineering & Construction , Bengaluru ,19,542.0,27
1959,Virtual Employee,Recruitment , Noida ,22,542.0,51
1960,Laxmi Organic Industries,Chemicals , Mahad ,19,542.0,43
1961,Utility Powertech,Power , New Delhi ,92,541.0,30
1962,Craftsman Automation,Auto Components , Coimbatore ,25,541.0,24
1963,WPP Media,Marketing & Advertising , Gurugram ,27,541.0,42
1964,MR.DIY,Retail , Mumbai ,85,541.0,48
1965,Maini Precision Products,Auto Components , Bengaluru ,11,540.0,40
1966,Enco Engineers Combine,Auto Components , Gurugram ,17,540.0,36
1967,Bharti Infratel,Telecom , Gurugram ,69,539.0,6
1968,Dhani Healthcare,FinTech , Gurugram ,81,539.0,59
1969,Yokohama,Auto Components , Bahadurgarh ,44,539.0,27
1970,RAK Ceramics,Building Material , Kakinada ,61,539.0,32
1971,Roop Polymers,Auto Components , Gurugram ,25,539.0,29
1972,BrightCHAMPS,EdTech , Bengaluru ,28,543.0,90
1973,Offshore Infrastructures,Engineering & Construction , Mumbai ,51,538.0,25
1974,Eicher Motors,Automobile , Indore ,96,538.0,41
1975,Titan Engineering & Automation,Engineering & Construction , Hosur ,17,538.0,36
1976,Anudip Foundation,Non-Profit , Kolkata ,62,536.0,159
1977,BLK Super Speciality Hospital,Healthcare , New Delhi ,16,536.0,33
1978,Maxgen Technologies,IT Services & Consulting , Pune ,8,536.0,14
1979,Hi Tech Gears,Auto Components , Bhiwadi ,29,536.0,30
1980,RadiSys,Telecom , Bengaluru ,11,536.0,51
1981,AM Infoweb,BPO , Pune ,8,536.0,87
1982,RuralShores,BPO , Bengaluru ,47,535.0,23
1983,GSPANN Technologies,IT Services & Consulting , Hyderabad ,9,535.0,48
1984,Insuremile,Internet , Bengaluru ,16,535.0,83
1985,Vestige,Fitness & Wellness , New Delhi ,110,535.0,40
1986,RMC Readymix,Building Material , Mumbai ,67,534.0,42
1987,CTS Consulting & Technical Support,Engineering & Construction , Chennai ,31,534.0,173
1988,Sulzer,Industrial Machinery , Pune ,25,534.0,35
1989,Cpf India,Food Processing , Bengaluru ,59,535.0,25
1990,Telenor,Telecom , Gurugram ,115,533.0,9
1991,Infiniti Research,Analytics & KPO , Bengaluru ,8,533.0,37
1992,S P Singla Constructions,Engineering & Construction , Patna ,63,532.0,37
1993,Haldiram Snacks,Food Processing , Noida ,67,532.0,17
1994,Macawber Beekay,Industrial Machinery , Noida ,57,533.0,23
1995,Dusters Total Solutions Services,Facility Management Services , Bengaluru ,62,530.0,20
1996,Zycus Infotech,Software Product , Mumbai ,9,530.0,76
1997,CompuCom,IT Services & Consulting , Pune ,7,529.0,37
1998,NMDC Limited,Metals & Mining , Jagdalpur ,41,530.0,45
1999,Micron Electricals,Engineering & Construction , Bengaluru ,18,529.0,37
2000,Allianz Partners,Insurance , Gurugram ,19,529.0,39
2001,Tracxn,Internet , Bengaluru ,11,529.0,112
2002,Fena,FMCG , New Delhi ,84,530.0,30
2003,Hitachi Cash Management Services,Other , Mumbai ,97,529.0,41
2004,Castrol,Petrochemicals , Mumbai ,123,529.0,23
2005,DM Immigration Consultant,Other , Bengaluru ,3,529.0,--
2006,5paisa Capital Ltd.,Financial Services , Mumbai ,9,528.0,45
2007,Scaler Academy,EdTech , Bengaluru ,8,528.0,89
2008,Vimta Labs,Clinical Research , Hyderabad ,29,528.0,39
2009,Kidzee,EdTech , Kolkata ,118,528.0,24
2010,Stock Holding Corporation of India,Financial Services , Mumbai ,101,528.0,34
2011,Sanmina Sci,Electronics Manufacturing , Chennai ,16,528.0,33
2012,Canon,Consumer Electronics & Appliances , Gurugram ,66,527.0,22
2013,Sterling,Healthcare , Mumbai ,64,527.0,36
2014,Systra Consulting,Engineering & Construction , New Delhi ,40,527.0,36
2015,Welspun Enterprises,Engineering & Construction , Mumbai ,48,527.0,52
2016,Wellness Forever Medicare,Retail , Mumbai ,41,527.0,55
2017,Unified Mentor,IT Services & Consulting , Bengaluru ,44,536.0,102
2018,Reliance Life Sciences,Clinical Research , Mumbai ,34,526.0,30
2019,Magma General Insurance Limited,Insurance , Mumbai ,87,526.0,33
2020,FMC Corporation,Agro Chemicals , Bharuch ,116,525.0,40
2021,Regalix,Marketing & Advertising , Hyderabad ,7,525.0,57
2022,My Home Constructions,Real Estate , Hyderabad ,19,525.0,35
2023,Zolo,Internet , Bengaluru ,24,525.0,59
2024,Emaar India Limited,Real Estate , Gurugram ,18,524.0,28
2025,Mecon,Metals & Mining , Ranchi ,49,524.0,44
2026,Brigade Group,Real Estate , Bengaluru ,11,524.0,44
2027,Capital Business Systems,IT Services & Consulting , New Delhi ,109,524.0,37
2028,Ralson Tyres Limited,Auto Components , Ludhiana ,52,524.0,46
2029,CDK Global,IT Services & Consulting , Hyderabad ,7,523.0,40
2030,BOBCARD Ltd.,NBFC , Mumbai ,106,523.0,29
2031,DFM Foods,FMCG , New Delhi ,79,523.0,37
2032,Legrand,Electrical Equipment , Mumbai ,58,523.0,28
2033,Bharat Gears,Auto Components , Faridabad ,24,522.0,26
2034,N.C.L. Industries,Building Material , Hyderabad ,69,522.0,38
2035,ExxonMobil,Oil & Gas , Bengaluru ,38,522.0,82
2036,Chaayos,Retail , New Delhi ,22,523.0,37
2037,Uttar Pradesh Power Corporation,Power , Lucknow ,89,521.0,11
2038,Tradeshala,Education & Training , Bengaluru ,8,521.0,118
2039,Satyam Auto Components,Auto Components , Gurugram ,27,521.0,38
2040,V.S.T Tillers Tractors,Industrial Machinery , Bengaluru ,56,520.0,41
2041,Wockhardt Hospital,Healthcare , Mumbai ,27,520.0,23
2042,House Of Anita Dongre,Fashion & Textile , Mumbai ,47,520.0,19
2043,Karvy Data Management Services,Analytics & KPO , Hyderabad ,81,519.0,19
2044,Foray Software,IT Services & Consulting , Hyderabad ,17,519.0,39
2045,Premier Energies,Electronics Manufacturing , Hyderabad ,24,521.0,43
2046,Hi Tech Projects,Engineering & Construction , Ahmedabad ,8,518.0,58
2047,Ge India Industrial,Industrial Machinery , Pune ,23,518.0,19
2048,GUS Education India,Education & Training , Hyderabad ,8,518.0,50
2049,MUTHOOT HOMEFIN (I) LTD.,NBFC , Mumbai ,107,518.0,30
2050,ACTE,Education & Training , Chennai ,10,518.0,9
2051,Innovatiview India Ltd,Emerging Technologies , Noida ,15,518.0,67
2052,Quikr,Internet , Bengaluru ,24,517.0,33
2053,Ziqitza Health Care,Healthcare , Mumbai ,60,517.0,25
2054,Vidal Health Insurance,Insurance , Bengaluru ,37,517.0,21
2055,EC-Council,EdTech , Hyderabad ,18,516.0,49
2056,DiGibizz,,-1,-1,-1.0,--
2057,Vishwa Samudra Engineering,Engineering & Construction , Hyderabad ,42,537.0,34
2058,Indecomm Global Services,IT Services & Consulting , Bengaluru ,13,517.0,29
2059,NAV Backoffice,Accounting & Auditing , Jaipur ,10,517.0,37
2060,Coats,Fashion & Textile , Bengaluru ,56,516.0,26
2061,JK Tech,IT Services & Consulting , Bengaluru ,20,516.0,38
2062,Aptus Value Housing Finance India,NBFC , Chennai ,153,516.0,20
2063,Metro Group of Hospitals,Healthcare , New Delhi ,32,516.0,15
2064,Pierian Services,Management Consulting , Bengaluru ,19,515.0,39
2065,Suprajit Engineering,Auto Components , Bengaluru ,38,515.0,38
2066,OMICS International,Printing & Publishing , Hyderabad ,6,514.0,25
2067,Consero Global Solutions,Financial Services , Bengaluru ,10,514.0,101
2068,ATS Infrastructure,Real Estate , Noida ,12,514.0,32
2069,Chemplast Sanmar,Chemicals , Salem ,20,514.0,46
2070,AML RightSource,IT Services & Consulting , New Delhi ,9,549.0,58
2071,Williams Lea,BPO , Chennai ,18,513.0,48
2072,Lakme,Beauty & Personal Care , Mumbai ,78,513.0,25
2073,Amar Ujala,Printing & Publishing , Noida ,54,512.0,20
2074,F1 Info Solutions and Services,IT Services & Consulting , Noida ,47,512.0,26
2075,Hafele,Furniture & Furnishing , Mumbai ,44,513.0,32
2076,PEGATRON,Electronics Manufacturing , Chennai ,13,512.0,29
2077,Metalman Auto,Auto Components , Chhatrapati Sambhajinagar ,23,512.0,24
2078,RSB Transmissions,Auto Components , Pune ,23,511.0,36
2079,Pitti Engineering,Industrial Machinery , Hyderabad ,13,512.0,28
2080,Metriqe Solutions,BPO , Chennai ,5,511.0,27
2081,Mobikwik,FinTech , Gurugram ,48,511.0,61
2082,Hindusthan National Glass,Packaging , Bahadurgarh ,23,510.0,33
2083,Vivanta by Taj,Hospitality , New Delhi ,48,509.0,27
2084,OutworX,IT Services & Consulting , Pune ,40,510.0,35
2085,Nivea,Beauty & Personal Care , Mumbai ,69,509.0,29
2086,IKF Finance,NBFC , Hyderabad ,127,509.0,26
2087,Indian Bank,Banking , Chennai ,116,508.0,27
2088,Centum Learning,Education & Training , New Delhi ,82,508.0,26
2089,AT&T,Telecom , Bengaluru ,18,508.0,65
2090,Spectrum Talent Management,Recruitment , Noida ,85,508.0,35
2091,Macquarie Group,Financial Services , Gurugram ,17,507.0,51
2092,Morepen Laboratories,Pharma , New Delhi ,48,507.0,24
2093,Securitas,Law Enforcement & Security , Gurugram ,44,507.0,38
2094,Poorvika Mobiles,Retail , Chennai ,62,506.0,32
2095,Hitachi Systems,IT Services & Consulting , Mumbai ,40,507.0,15
2096,Galaxy Surfactants,Chemicals , Mumbai ,25,505.0,28
2097,Hero Cycles,Automobile , Ludhiana ,48,505.0,54
2098,Ramraj Cotton,Fashion & Textile , Tiruppur ,47,505.0,42
2099,LearningMate Solutions,EdTech , Mumbai ,12,504.0,48
2100,Webskitters,IT Services & Consulting , Kolkata ,4,504.0,19
2101,FinThrive,Analytics & KPO , Chennai ,8,504.0,21
2102,Cairn Energy,Oil & Gas , Barmer ,31,503.0,33
2103,Saksoft,IT Services & Consulting , Bengaluru ,18,503.0,47
2104,Dr. Agarwal's Eye Hospital,Healthcare , Chennai ,80,503.0,37
2105,Ministry of Defence,Government , New Delhi ,74,503.0,18
2106,Pace Setters Business Solutions,BPO , Mumbai ,24,503.0,23
2107,BharatMatrimony.com,Internet , Chennai ,31,503.0,23
2108,RapiPay,FinTech , Noida ,109,502.0,38
2109,Mobile Programming,IT Services & Consulting , Bengaluru ,23,502.0,80
2110,Kokilaben Dhirubhai Ambani Hospital,Healthcare , Mumbai ,20,503.0,28
2111,Cuemath,EdTech , Bengaluru ,22,502.0,49
2112,RSM India,,-1,-1,502.0,67
2113,FNP,Retail , New Delhi ,19,502.0,40
2114,CMR Green Technologies,Metals & Mining , Faridabad ,34,502.0,54
2115,CARE,Non-Profit , Patna ,114,501.0,41
2116,QHTalbros,Auto Components , Gurugram ,26,501.0,18
2117,Amara Raja Infra,Engineering & Construction , Hyderabad ,53,502.0,53
2118,Muthoottu Mini Financiers,NBFC , Bengaluru ,100,501.0,26
2119,Vakrangee,BPO , Mumbai ,89,500.0,9
2120,Adda 247,EdTech , Gurugram ,24,500.0,77
2121,HSBC Global Banking and Markets,Banking , Bengaluru ,15,500.0,29
2122,Safari Industries India,Retail , Mumbai ,75,500.0,35
2123,Sarovar Hotels & Resorts,Hospitality , New Delhi ,70,499.0,20
2124,Nelito System,IT Services & Consulting , Mumbai ,41,499.0,30
2125,Voltech,Electrical Equipment , Chennai ,44,499.0,34
2126,Emerson Electric Co.,IT Services & Consulting , Pune ,25,499.0,57
2127,Great Learning,EdTech , Bengaluru ,12,499.0,68
2128,TÜV Rheinland,"Testing, Inspection and Certification (TIC) ", Bengaluru ,69,498.0,20
2129,BKT Tyres,Auto Components , Bhuj ,32,498.0,77
2130,Hamdard,FMCG , New Delhi ,74,498.0,42
2131,Addverb Technologies,Industrial Automation , Noida ,23,499.0,88
2132,Lotus Herbals Private Limited,Beauty & Personal Care , New Delhi ,73,498.0,46
2133,Dalmia Bharat Group,Building Material , New Delhi ,102,497.0,35
2134,Innovaccer,Software Product , Noida ,8,497.0,94
2135,Rakuten,IT Services & Consulting , Bengaluru ,11,497.0,95
2136,Atomberg Technologies,Consumer Electronics & Appliances , Pune ,63,497.0,40
2137,Alchemy Techsol India,IT Services & Consulting , Bengaluru ,20,497.0,90
2138,Alight Solutions,IT Services & Consulting , Gurugram ,14,496.0,30
2139,ServiceNow,Software Product , Hyderabad ,15,496.0,135
2140,Deloitte Digital,IT Services & Consulting , Bengaluru ,29,496.0,61
2141,Future Lifestyle Fashion,Retail , Bengaluru ,63,496.0,8
2142,Johnson Matthey,Metals & Mining , Gurugram ,23,495.0,42
2143,Insolutions Global,FinTech , Mumbai ,20,495.0,36
2144,LIC Housing Finance,NBFC , Mumbai ,122,495.0,21
2145,Gyan Dairy,Food Processing , Lucknow ,45,495.0,49
2146,Stylebaazar,Retail , Kolkata ,92,494.0,37
2147,Tuaman Engineering,Engineering & Construction , Kolkata ,36,494.0,69
2148,India Post,Government , Bengaluru ,191,493.0,24
2149,Micron Technology,Semiconductors , Hyderabad ,16,493.0,80
2150,Rusan Pharma,Pharma , Dehradun ,24,493.0,24
2151,TRINAMIX,IT Services & Consulting , Pune ,5,493.0,61
2152,Markets and Markets,Analytics & KPO , Pune ,17,492.0,62
2153,Sheela Foam,Furniture & Furnishing , Noida ,91,491.0,30
2154,Techwave Consulting,IT Services & Consulting , Hyderabad ,5,492.0,41
2155,SunTec Web Services,BPO , New Delhi ,9,491.0,51
2156,BCG,Management Consulting , Gurugram ,8,491.0,219
2157,Global Autotech,Auto Components , Greater Noida ,16,491.0,51
2158,African Industries,Iron & Steel , Lagos ,24,491.0,36
2159,Kandhari Beverages,Beverage , Jammu ,50,491.0,30
2161,Pepperfry,Furniture & Furnishing , Mumbai ,38,490.0,34
2162,Texmo Industries,Industrial Machinery , Coimbatore ,36,490.0,27
2163,ZEISS India,Industrial Machinery , Bengaluru ,35,490.0,34
2164,Mars International India,Food Processing , Hyderabad ,85,490.0,19
2165,Varuna Integrated Logistics,Logistics , Gurugram ,54,490.0,37
2166,HealthifyMe,Internet , Bengaluru ,18,490.0,51
2167,2COMS,,-1,-1,489.0,60
2168,Kalyani Technoforge,Auto Components , Pune ,18,489.0,21
2169,Go First,Aviation , Mumbai ,34,489.0,50
2170,Communications Test Design,IT Services & Consulting , Bengaluru ,50,488.0,31
2171,Hinduja Tech,IT Services & Consulting , Chennai ,17,488.0,33
2172,Medikabazaar,Medical Equipment , Mumbai ,32,488.0,14
2173,BharatPe,FinTech , Gurugram ,79,488.0,50
2174,QUICK HEAL TECHNOLOGIES,Software Product , Pune ,46,488.0,30
2175,Value Point Systems,IT Services & Consulting , Bengaluru ,44,489.0,29
2176,QBurst Technologies,Software Product , Kochi ,16,488.0,85
2177,Juniper Networks,Hardware & Networking , Bengaluru ,8,487.0,76
2178,Axa XL,Insurance , Gurugram ,6,487.0,50
2179,Par Health,Pharma , Indore ,11,487.0,27
2180,Sadbhav Engineering,Engineering & Construction , Ahmedabad ,66,487.0,10
2181,Jindal Power Limited,Power , Raigarh ,38,487.0,48
2182,Tractebel,Engineering & Construction , Gurugram ,89,487.0,46
2183,Trimax IT Infrastructure Services,IT Services & Consulting , Mumbai ,70,486.0,13
2184,Ivrcl Infrastructures & Projects,Engineering & Construction , Hyderabad ,54,486.0,9
2185,Voya India,Financial Services , Bengaluru ,12,485.0,29
2186,MindGate Solutions,IT Services & Consulting , Mumbai ,10,485.0,75
2187,NJ India Invest,Financial Services , Surat ,81,485.0,54
2188,N+A,Financial Services , Bengaluru ,65,485.0,168
2189,Indiafilings,Internet , Chennai ,11,485.0,141
2190,Maersk Line,Logistics , Pune ,27,484.0,33
2191,Think Gas Ludhiana,Oil & Gas , Chennai ,50,484.0,50
2192,Yardi Systems,Software Product , Pune ,2,484.0,78
2193,Sterling Holiday Resort,Hospitality , Chennai ,65,484.0,23
2194,Ben Franklin Opticians,Retail , Hyderabad ,115,484.0,27
2195,Kirby Building Systems,Building Material , Hyderabad ,38,483.0,25
2196,Romsons Group Of Industries,Medical Equipment , Agra ,56,482.0,37
2197,Saud Bahwan Group,Automobile , Muscat ,26,481.0,13
2198,InCred Finance,NBFC , Mumbai ,67,481.0,32
2199,Bira 91,Beverage , New Delhi ,57,481.0,28
2200,Siemens Healthineers,Healthcare , Bengaluru ,19,481.0,68
2201,SUEZ Group,Waste Management , New Delhi ,48,481.0,20
2202,Sri Krishna Pharmaceuticals,Pharma , Hyderabad ,15,481.0,17
2203,Cadbury,Food Processing , Mumbai ,113,480.0,27
2204,Quinnox,IT Services & Consulting , Bengaluru ,8,479.0,39
2205,Flowserve,Industrial Machinery , Bengaluru ,16,479.0,35
2206,National Commodities Management Services,Agriculture , Gurugram ,87,479.0,16
2207,Adani Cement,Building Material , Ahmedabad ,136,480.0,53
2208,Ppap Automotive,Auto Components , Noida ,18,479.0,43
2209,GD Goenka Public School,Education & Training , New Delhi ,72,479.0,45
2210,Mahanagar Gas,Oil & Gas , Mumbai ,26,478.0,32
2211,C-Edge Technologies,IT Services & Consulting , Mumbai ,20,478.0,27
2212,Xerox,Printing & Publishing , Bengaluru ,34,478.0,25
2213,MediBuddy,Healthcare , Bengaluru ,18,478.0,41
2214,Otsuka Pharmaceutical India Private Limited,Pharma , Ahmedabad ,40,478.0,27
2215,Orcapod Consulting Services,IT Services & Consulting , Hyderabad ,22,478.0,32
2216,Epiroc,Industrial Machinery , Bengaluru ,27,479.0,42
2217,Jiva Ayurvedic Pharmacy,,-1,-1,478.0,43
2218,Signature Global,Real Estate , Gurugram ,14,478.0,43
2219,Invesco,Financial Services , Hyderabad ,7,477.0,50
2220,Grindwell Norton,Industrial Machinery , Bengaluru ,42,477.0,27
2221,Cosmo Films,Packaging , Chhatrapati Sambhajinagar ,11,477.0,40
2222,Plastic Omnium,Automobile , Pune ,17,477.0,30
2223,Walkaroo International,Fashion & Textile , Coimbatore ,54,494.0,47
